student_id,student_no,first_calculus_score,second_calculus_score,third_calculus_score,calculus_avg_score,study_hours,attendance_count,homework_score,practice_count
401,20221000401,57.56,64.44,55.31,59.1,23.86,89,47.86,20
402,20221000402,78.25,63.2,52.56,64.67,10.77,95,66.38,20
403,20221000403,49.71,56.19,49.73,51.88,12.69,81,92.84,26
404,20221000404,41.51,49.39,51.21,47.37,19.99,84,82.91,17
405,20221000405,49.42,37.05,42.17,42.88,17.01,82,96.15,5
406,20221000406,53.52,52.93,40.72,49.06,33.79,100,58.78,40
407,20221000407,30.33,20,20,23.44,11.06,94,91.28,37
408,20221000408,38.97,21.42,20,26.8,18.17,93,83.38,80
409,20221000409,71.09,85.69,91.58,82.79,30.27,83,57.23,15
410,20221000410,62.07,69.87,74.11,68.68,20.66,95,73.86,11
411,20221000411,59.74,59.29,60.46,59.83,17.11,90,100,18
412,20221000412,34.76,34.47,42.15,37.13,13.96,94,69.44,25
413,20221000413,42.74,45.9,42.23,43.62,10.49,100,94.54,14
414,20221000414,66.62,51.18,30.3,49.37,9.43,97,69.8,17
415,20221000415,36.39,33.28,42.27,37.31,17.16,89,85.43,12
416,20221000416,80.22,66.58,57.8,68.2,2.82,89,73.33,32
417,20221000417,63.32,46.68,43.32,51.11,23.99,86,89.32,36
418,20221000418,43.37,58.99,50.55,50.97,11.46,99,52.76,25
419,20221000419,79.49,76.72,87.27,81.16,21.8,89,89.17,44
420,20221000420,69.61,73.95,72.73,72.1,15.25,88,100,43
421,20221000421,50.62,64.24,56.45,57.1,12.38,82,71.13,26
422,20221000422,83.11,88.19,64.54,78.61,16.73,63,100,33
423,20221000423,64.6,45.51,31.56,47.22,17.69,70,84.72,29
424,20221000424,70.64,65.42,60.73,65.6,18.16,99,75.3,18
425,20221000425,58.62,64.01,71.71,64.78,22.0,84,86.84,43
426,20221000426,62.96,66.01,69.64,66.2,18.69,100,44.95,16
427,20221000427,36.95,30.94,30.6,32.83,23.8,80,73.52,20
428,20221000428,69.05,63.89,60.77,64.57,18.36,96,81.22,14
429,20221000429,36.53,23.93,24.42,28.29,18.8,73,79.3,7
430,20221000430,64.79,53.65,62.77,60.4,18.24,100,95.37,18
431,20221000431,76.81,81.8,76.01,78.21,15.2,99,75.34,58
432,20221000432,43.4,60.86,32.78,45.68,26.26,86,64.05,11
433,20221000433,59.76,72.12,56.58,62.82,19.16,94,80.45,10
434,20221000434,49.87,45.75,42.83,46.15,22.97,69,42.42,69
435,20221000435,69.48,71.66,63.03,68.06,18.21,69,88.47,25
436,20221000436,35.65,35.24,26.45,32.45,18.48,75,94.28,6
437,20221000437,44.08,36.81,33.04,37.98,6.43,83,74.68,28
438,20221000438,83.39,86.78,78.92,83.03,2.94,79,74.02,25
439,20221000439,40.65,49.45,62.15,50.75,29.21,85,83.24,38
440,20221000440,34.3,34.78,34.27,34.45,21.41,100,45.27,11
441,20221000441,39.02,54.29,69.5,54.27,5.96,88,71.2,32
442,20221000442,57.67,65.76,64.28,62.57,13.79,88,84.47,31
443,20221000443,82.96,90.71,76.26,83.31,14.49,93,45.5,53
444,20221000444,52.01,29.4,21.54,34.32,13.11,100,90.84,33
445,20221000445,61.64,54.7,55.35,57.23,21.06,100,48.35,22
446,20221000446,55.24,45.25,59.02,53.17,12.17,86,57.85,7
447,20221000447,51.93,57.7,48.14,52.59,21.67,87,69.06,41
448,20221000448,41.36,62.95,59.81,54.71,14.12,100,74.01,18
449,20221000449,75.05,92.29,77.98,81.77,21.73,80,36.25,14
450,20221000450,49.7,38.4,46.22,44.77,17.49,100,60.75,27
451,20221000451,55.87,57.91,56.29,56.69,15.75,88,92.47,140
452,20221000452,38.04,57.61,44.2,46.62,27.82,100,46.94,25
453,20221000453,35.01,30.26,25.52,30.26,9.39,87,93.75,18
454,20221000454,38.42,37.68,59.32,45.14,26.68,96,43.81,44
455,20221000455,61.2,73.81,68.97,67.99,17.68,80,52.52,31
456,20221000456,53.97,57.99,40.97,50.98,9.76,96,72.29,52
457,20221000457,73.02,58.02,39.36,56.8,12.05,59,56.12,10
458,20221000458,62.53,70.55,57.3,63.46,24.35,88,72.62,4
459,20221000459,58.42,57.61,55.21,57.08,22.94,85,60.49,55
460,20221000460,78.8,79.24,83.82,80.62,21.46,100,90.18,9
461,20221000461,34.9,48.31,28.48,37.23,23.3,90,77.13,31
462,20221000462,69.66,57.19,51.6,59.48,20.74,77,92.63,24
463,20221000463,56.56,61.77,68.55,62.29,11.47,70,94.62,43
464,20221000464,55.29,56.92,67.98,60.06,10.21,92,48.8,10
465,20221000465,69.19,79.82,97.2,82.07,19.68,99,96.81,30
466,20221000466,61.2,40.24,23.64,41.69,10.6,83,42.89,15
467,20221000467,46.47,60.48,75.82,60.92,13.26,82,63.55,16
468,20221000468,37.77,59.82,45.55,47.71,20.0,74,63.17,16
469,20221000469,37.43,33.98,28.82,33.41,9.51,93,53.75,28
470,20221000470,78.68,80.15,70.19,76.34,14.08,86,42.14,15
471,20221000471,32.6,29.62,27.78,30.0,11.53,75,53.1,12
472,20221000472,31.6,38.26,20,29.95,13.85,86,83.58,18
473,20221000473,69.01,69.75,52.45,63.74,19.05,87,85.98,15
474,20221000474,50.61,48.21,46.63,48.48,19.27,94,87.38,19
475,20221000475,61.49,64.32,63.78,63.2,22.15,95,54.59,27
476,20221000476,48.61,60.7,51.52,53.61,17.71,73,44.79,58
477,20221000477,55.58,55.77,74.9,62.08,16.24,84,43.02,60
478,20221000478,77.51,70.53,73.18,73.74,18.13,82,100,15
479,20221000479,60.86,66.51,62.23,63.2,17.83,78,92.61,29
480,20221000480,78.12,85.58,68.61,77.44,10.17,92,74.46,15
481,20221000481,39.96,20.58,20,26.85,9.84,88,70.02,16
482,20221000482,34.12,44.07,45.4,41.2,10.26,98,46.6,16
483,20221000483,46.04,41.03,42.79,43.29,20.95,79,78.64,43
484,20221000484,75.68,61.61,45.87,61.05,11.62,93,60.85,37
485,20221000485,66.75,76.8,50.5,64.68,24.22,84,58.16,16
486,20221000486,67.07,78.56,72.86,72.83,11.44,99,34.22,38
487,20221000487,59.32,59.13,68.03,62.16,29.14,90,46.89,13
488,20221000488,44.35,30.9,45.01,40.09,22.12,89,85.34,18
489,20221000489,31.59,30.37,42.37,34.78,20.52,78,74.36,29
490,20221000490,50.79,51.24,55.91,52.65,20.52,77,75.18,28
491,20221000491,62.25,67.67,68.49,66.14,14.91,86,63.84,26
492,20221000492,40.33,44.5,44.77,43.2,22.4,93,97.82,13
493,20221000493,51.12,49.01,63.02,54.38,12.18,86,44.75,26
494,20221000494,72.26,51.6,45.21,56.36,20.08,69,89.31,18
495,20221000495,40.53,33.01,35.26,36.27,30.75,82,73.85,42
496,20221000496,77.57,82.81,78.84,79.74,22.72,84,54.75,19
497,20221000497,28.16,25.41,26.3,26.62,25.3,91,36.08,14
498,20221000498,61.75,71.18,71.25,68.06,16.11,100,100,49
499,20221000499,58.17,45.41,48.41,50.66,16.56,91,79.38,16
500,20221000500,40.68,35.39,31.54,35.87,15.07,82,65.87,19
501,20221000501,39.51,42.96,55.27,45.91,19.18,89,44.05,22
502,20221000502,82.38,85.03,90.9,86.1,18.56,90,49.56,17
503,20221000503,34.99,22.51,20,25.83,26.0,71,57.13,23
504,20221000504,57.97,69.81,75.52,67.77,19.91,100,61.57,9
505,20221000505,72.1,79.1,66.75,72.65,14.91,96,72.15,22
506,20221000506,46.35,40.68,43.53,43.52,16.44,78,51.52,26
507,20221000507,65.09,69.65,68.44,67.73,12.25,74,48.13,16
508,20221000508,58.89,53.45,61.77,58.04,14.0,83,74.31,19
509,20221000509,64.87,65.36,68.86,66.36,7.71,67,42.15,47
510,20221000510,40.66,60.62,59.12,53.47,8.11,100,58.82,11
511,20221000511,55.0,60.75,68.77,61.51,15.93,100,51.55,21
512,20221000512,62.72,48.21,65.3,58.74,7.94,83,65.75,51
513,20221000513,37.35,61.35,58.86,52.52,2.52,100,44.42,61
514,20221000514,43.23,23.89,46.42,37.85,19.77,96,62.14,13
515,20221000515,35.14,48.22,50.06,44.47,14.16,100,67.84,31
516,20221000516,43.3,65.57,70.61,59.83,19.81,100,61.13,12
517,20221000517,41.59,35.56,20,32.38,18.22,86,45.88,64
518,20221000518,48.79,43.36,54.86,49.0,2,76,43.25,20
519,20221000519,73.35,70.33,69.98,71.22,10.88,100,68.93,21
520,20221000520,38.16,33.08,22.63,31.29,24.32,87,92.96,16
521,20221000521,49.21,49.5,38.56,45.76,7.57,91,74.11,51
522,20221000522,37.11,48.6,56.99,47.57,10.74,89,51.69,24
523,20221000523,42.61,55.93,45.88,48.14,23.32,72,59.35,55
524,20221000524,50.27,39.32,32.32,40.64,18.02,100,85.47,16
525,20221000525,36.17,33.71,32.08,33.99,3.88,76,86.35,9
526,20221000526,32.02,20,29.63,27.22,20.41,93,62.25,12
527,20221000527,81.76,97.08,97.41,92.08,16.3,90,82.19,17
528,20221000528,53.47,74.9,77.74,68.7,8.4,83,100,21
529,20221000529,50.76,57.17,56.33,54.75,15.04,85,61.47,30
530,20221000530,76.02,96.8,100,90.94,19.58,78,41.96,18
531,20221000531,50.01,32.11,32.3,38.14,13.21,87,76.9,25
532,20221000532,48.48,43.11,26.83,39.47,18.9,92,78.62,23
533,20221000533,60.37,49.04,48.98,52.8,16.19,96,94.57,13
534,20221000534,38.72,20,22.59,27.1,17.76,82,67.02,24
535,20221000535,48.12,55.73,36.81,46.89,14.5,83,58.61,59
536,20221000536,52.02,23.85,20,31.96,31.86,89,42.98,31
537,20221000537,71.4,87.58,81.27,80.08,18.37,65,70.14,143
538,20221000538,62.45,84.9,95.51,80.95,11.54,85,36.58,31
539,20221000539,75.65,84.4,69.88,76.64,17.98,87,57.95,17
540,20221000540,65.69,84.11,89.58,79.79,17.01,94,60.48,27
541,20221000541,72.82,98.32,100,90.38,19.56,96,41.01,23
542,20221000542,55.48,49.75,35.51,46.91,14.17,82,98.0,11
543,20221000543,40.64,47.44,39.61,42.56,7.35,80,36.03,15
544,20221000544,55.32,61.06,65.52,60.63,11.64,94,76.87,17
545,20221000545,40.03,30.67,38.25,36.32,26.06,94,78.94,20
546,20221000546,60.85,69.42,78.76,69.68,13.01,87,46.59,4
547,20221000547,41.86,32.46,34.1,36.14,11.95,82,100,18
548,20221000548,20.36,20,20,20.12,19.73,92,34.98,11
549,20221000549,75.95,92.23,86.37,84.85,20.92,83,69.5,47
550,20221000550,48.93,57.35,52.43,52.9,19.84,91,62.43,9
551,20221000551,47.42,20,20.55,29.32,29.66,74,87.18,20
552,20221000552,65.06,64.05,64.56,64.56,9.14,62,96.05,19
553,20221000553,29.36,35.65,20,28.34,16.65,65,38.59,7
554,20221000554,82.52,82.1,53.78,72.8,21.59,99,54.06,12
555,20221000555,47.12,42.58,42.57,44.09,21.06,78,71.64,12
556,20221000556,20.61,21.33,28.73,23.56,14.66,94,40.13,23
557,20221000557,52.86,52.84,68.36,58.02,11.59,84,75.82,35
558,20221000558,47.25,62.04,73.23,60.84,19.96,100,95.19,42
559,20221000559,55.92,53.64,67.29,58.95,22.94,83,42.84,11
560,20221000560,43.83,55.77,50.88,50.16,12.46,81,87.7,29
561,20221000561,70.01,90.6,87.3,82.64,12.33,82,87.81,19
562,20221000562,50.26,38.47,26.64,38.46,16.74,77,72.38,18
563,20221000563,49.5,32.21,27.32,36.34,21.88,98,40.2,23
564,20221000564,47.7,38.99,42.74,43.14,9.04,100,92.48,33
565,20221000565,38.35,31.81,33.68,34.61,11.32,100,53.35,15
566,20221000566,66.37,87.27,73.34,75.66,14.59,76,90.12,30
567,20221000567,40.55,25.64,23.01,29.73,17.54,100,100,27
568,20221000568,59.05,46.45,34.34,46.61,10.64,80,90.24,44
569,20221000569,74.5,75.11,77.15,75.59,31.46,72,90.42,13
570,20221000570,47.55,47.68,56.36,50.53,28.02,100,72.15,35
571,20221000571,58.99,64.21,55.53,59.58,14.65,84,53.71,32
572,20221000572,62.07,59.9,51.5,57.82,22.71,85,88.79,30
573,20221000573,41.4,54.52,63.05,52.99,10.75,90,82.69,31
574,20221000574,34.27,35.34,29.65,33.09,21.75,76,74.4,14
575,20221000575,51.47,69.31,69.34,63.37,5.11,87,91.78,13
576,20221000576,28.21,20,30.89,26.37,30.01,74,87.56,45
577,20221000577,56.51,39.37,38.09,44.66,15.41,79,91.49,17
578,20221000578,62.17,63.8,55.45,60.47,5.8,66,90.82,78
579,20221000579,73.44,79.05,96.22,82.9,22.69,99,92.13,30
580,20221000580,70.79,68.07,88.11,75.66,24.55,98,52.14,12
581,20221000581,32.95,41.89,43.08,39.31,15.02,77,38.76,24
582,20221000582,27.85,38.42,41.52,35.93,7.04,89,76.47,32
583,20221000583,66.87,52.37,72.54,63.93,14.19,75,85.08,30
584,20221000584,74.12,82.44,99.24,85.27,14.39,90,68.14,7
585,20221000585,50.62,57.57,48.66,52.28,15.75,84,88.55,30
586,20221000586,56.4,35.72,37.54,43.22,22.36,78,92.9,66
587,20221000587,76.63,90.65,95.49,87.59,23.21,100,86.88,58
588,20221000588,43.57,20,22.63,28.73,20.65,79,83.85,18
589,20221000589,48.0,54.22,48.05,50.09,20.99,84,58.16,24
590,20221000590,49.73,62.29,65.26,59.09,17.88,91,80.19,22
591,20221000591,56.52,64.8,67.88,63.07,22.24,80,41.88,29
592,20221000592,55.76,72.4,68.46,65.54,14.61,87,81.65,28
593,20221000593,61.25,74.24,62.26,65.92,13.5,100,79.85,31
594,20221000594,36.64,20,32.51,29.72,2,76,99.21,51
595,20221000595,64.25,61.57,67.17,64.33,23.22,74,59.74,22
596,20221000596,64.88,78.56,68.0,70.48,14.39,78,82.33,9
597,20221000597,57.04,82.25,78.16,72.48,23.37,94,88.02,21
598,20221000598,22.72,20,27.98,23.57,2,95,47.3,23
599,20221000599,64.27,58.91,65.11,62.76,14.26,90,68.68,10
600,20221000600,58.5,63.15,38.52,53.39,18.18,88,41.01,37
