performance_id,student_id,course_id,semester,attendance_score,participation_score,homework_score,behavior_score,total_performance_score,teacher_comments,learning_attitude,discipline
666,61,6,第二学期,85.2,34.8,72.8,97.0,72.5,课堂表现良好，积极参与讨论。,优秀,优秀
667,61,7,第二学期,95.6,80.3,61.1,93.1,82.5,需要加强课堂参与度。,一般,优秀
668,61,8,第二学期,73.2,36.8,67.7,69.7,61.8,需要提高作业质量。,良好,优秀
669,61,9,第二学期,83.9,81.9,88.0,70.6,81.1,课堂发言积极，思维活跃。,良好,良好
670,61,10,第二学期,91.9,78.8,96.5,65.3,83.1,作业完成认真，值得表扬。,较差,优秀
671,61,13,第二学期,88.6,84.1,,81.4,88.0,学习态度认真，成绩稳步提升。,优秀,良好
672,62,1,第一学期,90.7,88.2,81.0,72.6,83.1,课堂发言积极，思维活跃。,一般,优秀
673,62,2,第一学期,79.0,,94.9,95.8,78.9,课堂表现良好，积极参与讨论。,良好,优秀
674,62,3,第二学期,94.2,88.4,61.7,66.1,77.6,需要提高作业质量。,较差,优秀
675,62,4,第二学期,75.6,89.9,91.5,85.4,85.6,,较差,良好
676,62,5,第一学期,89.8,47.3,92.2,88.3,79.4,需要提高作业质量。,较差,良好
677,62,6,第二学期,97.0,74.8,96.4,75.4,85.9,需要加强课堂参与度。,较差,良好
678,62,7,第一学期,88.4,98.2,58.4,87.9,83.2,课堂纪律良好，表现稳定。,较差,一般
679,62,8,第二学期,92.4,80.5,82.5,61.0,79.1,课堂发言积极，思维活跃。,良好,优秀
680,62,9,第一学期,86.3,68.9,63.1,94.6,78.2,,一般,优秀
681,62,10,第二学期,95.9,53.4,58.1,83.2,72.7,课堂纪律良好，表现稳定。,良好,优秀
682,62,13,第二学期,79.5,92.4,54.5,62.7,72.3,课堂表现良好，积极参与讨论。,较差,一般
683,63,1,第一学期,98.1,69.6,51.5,87.3,76.6,需要加强课堂参与度。,良好,一般
684,63,2,第二学期,78.3,57.3,61.1,97.3,73.5,需要提高作业质量。,一般,优秀
685,63,3,第二学期,95.7,70.9,76.0,79.3,80.5,课堂表现良好，积极参与讨论。,一般,良好
686,63,4,第二学期,73.9,83.1,82.5,76.4,79.0,课堂纪律良好，表现稳定。,一般,优秀
687,63,5,第二学期,74.2,81.5,92.1,87.2,83.8,,较差,优秀
688,63,6,第二学期,94.0,73.2,88.9,70.4,81.6,学习进步明显，继续努力。,良好,优秀
689,63,7,第一学期,75.2,41.8,65.4,67.4,62.5,学习进步明显，继续努力。,良好,优秀
690,63,8,第二学期,70.7,66.2,96.4,72.2,76.4,课堂纪律良好，表现稳定。,良好,良好
691,63,9,第一学期,73.8,,59.1,83.1,73.4,课堂表现良好，积极参与讨论。,较差,一般
692,63,10,第一学期,97.6,80.1,93.5,75.8,86.8,学习进步明显，继续努力。,良好,良好
693,63,13,第一学期,76.9,35.6,83.7,84.7,70.2,作业完成认真，值得表扬。,良好,优秀
694,64,1,第一学期,98.2,96.0,97.3,62.6,88.5,需要提高作业质量。,较差,一般
695,64,2,第一学期,95.7,70.3,75.2,65.6,76.7,作业完成认真，值得表扬。,良好,良好
696,64,3,第二学期,89.6,63.2,96.6,62.3,77.9,需要加强课堂参与度。,优秀,良好
697,64,4,第一学期,86.3,62.6,89.8,96.3,83.8,学习态度认真，成绩稳步提升。,良好,一般
698,64,5,第一学期,71.1,99.0,50.2,88.6,77.2,作业完成认真，值得表扬。,一般,良好
699,64,6,第二学期,88.7,77.5,86.1,96.6,87.2,,良好,一般
700,64,7,第二学期,86.5,,99.1,98.3,81.8,需要提高作业质量。,良好,优秀
701,64,8,第一学期,97.3,32.8,69.4,65.0,66.1,课堂纪律良好，表现稳定。,优秀,优秀
702,64,9,第二学期,97.1,57.8,72.5,72.2,74.9,课堂表现良好，积极参与讨论。,较差,一般
703,64,10,第二学期,71.9,39.9,98.0,97.7,76.9,需要加强课堂参与度。,良好,优秀
704,64,13,第二学期,72.9,53.2,59.9,71.1,64.3,课堂表现良好，积极参与讨论。,良好,一般
705,65,1,第二学期,85.2,,83.1,65.7,72.8,课堂发言积极，思维活跃。,良好,优秀
706,65,2,第二学期,85.4,70.2,60.5,93.0,77.3,课堂表现良好，积极参与讨论。,优秀,优秀
707,65,3,第一学期,72.7,96.0,75.6,96.3,85.1,学习进步明显，继续努力。,良好,良好
708,65,4,第二学期,92.9,88.7,75.0,95.7,88.1,,良好,一般
709,65,5,第一学期,76.9,81.3,61.8,78.0,74.5,学习态度认真，成绩稳步提升。,一般,一般
710,65,6,第二学期,86.3,60.3,58.4,82.5,71.9,需要加强课堂参与度。,良好,良好
711,65,7,第二学期,71.8,65.2,67.9,96.3,75.3,学习态度认真，成绩稳步提升。,良好,良好
712,65,8,第二学期,82.6,44.6,60.8,72.6,65.2,课堂表现良好，积极参与讨论。,良好,优秀
713,65,9,第一学期,87.9,43.1,94.6,79.0,76.2,课堂表现良好，积极参与讨论。,较差,良好
714,65,10,第二学期,87.6,46.0,86.4,97.5,79.4,作业完成认真，值得表扬。,良好,良好
715,65,13,第一学期,87.2,54.5,,84.1,76.3,,良好,优秀
716,66,1,第二学期,91.3,,62.0,79.9,74.0,课堂表现良好，积极参与讨论。,优秀,优秀
717,66,2,第一学期,99.3,94.6,97.7,68.6,90.0,课堂纪律良好，表现稳定。,良好,一般
718,66,3,第二学期,98.0,85.1,64.7,83.2,82.8,作业完成认真，值得表扬。,较差,良好
719,66,4,第二学期,78.9,48.7,75.5,68.5,67.9,课堂表现良好，积极参与讨论。,一般,优秀
720,66,5,第一学期,78.3,60.5,62.7,63.3,66.2,学习进步明显，继续努力。,一般,优秀
721,66,6,第二学期,72.0,45.3,83.2,76.2,69.2,课堂纪律良好，表现稳定。,良好,优秀
722,66,7,第二学期,70.2,92.6,78.9,98.3,85.0,需要提高作业质量。,良好,一般
723,66,8,第二学期,85.7,39.3,60.9,80.0,66.5,需要提高作业质量。,一般,优秀
724,66,9,第二学期,89.0,74.6,75.8,97.0,84.1,,良好,优秀
725,66,10,第二学期,77.0,40.1,81.7,72.1,67.7,需要加强课堂参与度。,优秀,优秀
726,66,13,第一学期,73.7,70.7,79.5,96.0,80.0,学习进步明显，继续努力。,良好,一般
727,67,1,第一学期,72.4,50.2,67.3,95.5,71.3,课堂表现良好，积极参与讨论。,良好,良好
728,67,2,第一学期,92.4,,83.1,71.9,78.8,学习态度认真，成绩稳步提升。,良好,优秀
729,67,3,第二学期,93.5,62.6,,80.3,81.5,课堂发言积极，思维活跃。,优秀,一般
730,67,4,第二学期,92.0,85.2,86.5,60.4,81.0,作业完成认真，值得表扬。,优秀,优秀
731,67,5,第一学期,85.0,98.8,89.2,84.2,89.3,学习态度认真，成绩稳步提升。,一般,良好
732,67,6,第二学期,94.9,48.6,61.2,87.7,73.1,作业完成认真，值得表扬。,较差,优秀
733,67,7,第二学期,71.3,91.0,58.1,68.4,72.2,作业完成认真，值得表扬。,一般,一般
734,67,8,第二学期,70.1,77.0,95.7,78.2,80.2,课堂表现良好，积极参与讨论。,优秀,优秀
735,67,9,第一学期,97.7,55.0,98.9,97.7,87.3,需要提高作业质量。,较差,一般
736,67,10,第二学期,75.8,47.5,96.8,84.0,76.0,作业完成认真，值得表扬。,较差,一般
737,67,13,第一学期,96.3,67.2,78.6,72.1,78.5,学习进步明显，继续努力。,较差,优秀
738,68,1,第二学期,92.2,69.7,64.1,60.4,71.6,课堂发言积极，思维活跃。,良好,一般
739,68,2,第二学期,98.5,83.2,98.2,88.4,92.1,需要提高作业质量。,良好,优秀
740,68,3,第一学期,81.6,93.9,94.7,80.7,87.7,需要提高作业质量。,较差,优秀
741,68,4,第二学期,90.2,62.6,83.9,89.2,81.5,需要提高作业质量。,良好,一般
742,68,5,第二学期,82.4,96.4,87.5,76.7,85.8,需要加强课堂参与度。,较差,良好
743,68,6,第二学期,74.2,74.6,91.9,93.9,83.7,课堂表现良好，积极参与讨论。,优秀,优秀
744,68,7,第一学期,84.5,39.5,89.7,64.8,69.6,需要提高作业质量。,较差,优秀
745,68,8,第二学期,94.4,72.2,55.4,84.3,76.6,学习进步明显，继续努力。,优秀,良好
746,68,9,第一学期,99.7,34.5,73.8,61.2,67.3,需要加强课堂参与度。,良好,良好
747,68,10,第二学期,97.4,89.0,53.9,60.4,75.2,作业完成认真，值得表扬。,优秀,一般
748,68,13,第二学期,89.3,,,96.6,82.0,需要提高作业质量。,良好,一般
749,69,1,第二学期,76.0,61.1,80.6,73.6,72.8,课堂表现良好，积极参与讨论。,较差,一般
750,69,2,第一学期,90.0,83.0,92.8,61.9,81.9,课堂纪律良好，表现稳定。,较差,一般
751,69,3,第二学期,94.6,94.5,76.9,93.7,89.9,需要加强课堂参与度。,良好,优秀
752,69,4,第二学期,70.3,,73.7,78.3,73.7,课堂纪律良好，表现稳定。,优秀,一般
753,69,5,第一学期,73.7,40.7,86.9,66.7,67.0,课堂纪律良好，表现稳定。,优秀,一般
754,69,6,第二学期,81.0,30.6,99.9,64.6,69.0,需要加强课堂参与度。,良好,优秀
755,69,7,第一学期,82.7,46.3,78.6,99.5,76.8,课堂表现良好，积极参与讨论。,优秀,良好
756,69,8,第一学期,88.4,30.1,77.5,64.9,65.2,学习态度认真，成绩稳步提升。,优秀,良好
757,69,9,第一学期,95.3,32.2,56.3,87.6,67.8,学习态度认真，成绩稳步提升。,较差,一般
758,69,10,第一学期,89.6,91.8,74.5,94.7,87.6,学习态度认真，成绩稳步提升。,良好,一般
759,69,13,第一学期,99.7,62.4,86.8,64.0,78.2,课堂表现良好，积极参与讨论。,较差,优秀
760,70,1,第二学期,74.3,94.1,65.9,79.7,78.5,作业完成认真，值得表扬。,优秀,优秀
761,70,2,第二学期,96.5,81.9,56.5,77.3,78.0,,良好,优秀
762,70,3,第一学期,72.6,98.3,65.1,78.4,78.6,课堂纪律良好，表现稳定。,良好,优秀
763,70,4,第一学期,86.4,51.2,88.9,71.6,74.5,课堂发言积极，思维活跃。,良好,良好
764,70,5,第二学期,81.8,67.9,77.2,92.0,79.7,需要提高作业质量。,较差,优秀
765,70,6,第一学期,87.8,84.5,95.3,91.9,89.9,课堂纪律良好，表现稳定。,一般,良好
766,70,7,第二学期,74.2,,81.8,62.8,78.7,学习进步明显，继续努力。,良好,优秀
767,70,8,第一学期,76.5,34.3,51.8,69.4,58.0,需要提高作业质量。,一般,优秀
768,70,9,第二学期,75.0,75.9,83.1,77.9,78.0,需要加强课堂参与度。,良好,优秀
769,70,10,第一学期,97.4,39.1,91.8,79.1,76.8,学习进步明显，继续努力。,良好,一般
770,70,13,第二学期,73.0,73.9,94.5,62.9,76.1,学习态度认真，成绩稳步提升。,良好,一般
771,71,1,第二学期,98.0,81.6,59.4,62.7,75.4,学习态度认真，成绩稳步提升。,较差,良好
772,71,2,第一学期,84.9,47.5,84.3,90.7,76.8,学习态度认真，成绩稳步提升。,良好,优秀
773,71,3,第二学期,86.0,74.5,79.0,85.0,81.1,作业完成认真，值得表扬。,良好,优秀
774,71,4,第一学期,93.5,47.9,75.8,60.1,69.3,课堂表现良好，积极参与讨论。,一般,良好
775,71,5,第二学期,86.3,74.7,69.1,68.4,74.6,,良好,优秀
776,71,6,第二学期,96.5,78.1,,77.4,77.2,作业完成认真，值得表扬。,良好,优秀
777,71,7,第二学期,81.3,85.4,91.5,76.0,83.5,学习进步明显，继续努力。,优秀,良好
778,71,8,第一学期,73.8,77.0,54.3,81.8,71.7,学习进步明显，继续努力。,优秀,一般
779,71,9,第二学期,71.7,56.2,,93.4,79.8,作业完成认真，值得表扬。,较差,优秀
780,71,10,第二学期,72.2,38.8,66.4,95.1,68.1,学习态度认真，成绩稳步提升。,良好,一般
781,71,13,第一学期,82.3,63.9,,72.4,69.3,课堂发言积极，思维活跃。,良好,一般
782,72,1,第一学期,76.1,53.1,83.2,97.8,77.5,课堂发言积极，思维活跃。,一般,一般
783,72,2,第二学期,73.0,48.6,,87.9,74.6,学习态度认真，成绩稳步提升。,良好,良好
784,72,3,第一学期,98.2,44.8,76.5,68.3,72.0,学习进步明显，继续努力。,一般,一般
785,72,4,第一学期,99.3,86.0,92.8,94.9,93.2,课堂发言积极，思维活跃。,较差,优秀
786,72,5,第一学期,78.9,,75.3,82.2,69.8,作业完成认真，值得表扬。,良好,优秀
787,72,6,第一学期,95.7,55.1,62.0,88.4,75.3,学习态度认真，成绩稳步提升。,较差,优秀
788,72,7,第二学期,96.3,54.5,91.7,79.1,80.4,学习态度认真，成绩稳步提升。,较差,一般
789,72,8,第一学期,85.9,30.9,56.6,97.3,67.7,作业完成认真，值得表扬。,良好,优秀
790,72,9,第二学期,94.0,67.4,55.3,96.3,78.2,需要加强课堂参与度。,优秀,良好
791,72,10,第一学期,93.3,92.6,64.4,68.9,79.8,需要加强课堂参与度。,优秀,一般
792,72,13,第一学期,93.9,55.5,54.2,68.2,68.0,学习进步明显，继续努力。,较差,一般
793,73,1,第二学期,70.4,91.2,98.0,95.4,88.8,需要加强课堂参与度。,良好,优秀
794,73,2,第一学期,86.5,54.7,90.8,83.1,78.8,需要提高作业质量。,优秀,优秀
795,73,3,第一学期,96.5,92.2,,87.2,89.0,学习态度认真，成绩稳步提升。,一般,优秀
796,73,4,第一学期,78.8,30.8,,93.1,74.5,需要加强课堂参与度。,良好,优秀
797,73,5,第一学期,84.5,36.9,73.3,85.5,70.0,课堂发言积极，思维活跃。,良好,一般
798,73,6,第二学期,99.2,76.7,89.1,64.1,82.3,课堂发言积极，思维活跃。,良好,优秀
799,73,7,第一学期,74.4,47.1,,97.1,70.5,需要加强课堂参与度。,一般,优秀
800,73,8,第一学期,73.5,93.9,78.3,68.4,78.5,需要提高作业质量。,良好,优秀
801,73,9,第一学期,84.6,34.2,94.1,81.4,73.6,课堂纪律良好，表现稳定。,一般,优秀
802,73,10,第一学期,98.3,,81.3,66.5,83.0,课堂表现良好，积极参与讨论。,较差,优秀
803,73,13,第二学期,96.9,95.6,54.6,73.4,80.1,学习进步明显，继续努力。,良好,优秀
804,74,1,第二学期,90.8,37.0,51.7,92.3,68.0,,较差,优秀
805,74,2,第一学期,88.9,30.2,59.4,63.5,60.5,课堂表现良好，积极参与讨论。,优秀,一般
806,74,3,第二学期,81.2,73.7,,86.6,83.3,课堂发言积极，思维活跃。,一般,一般
807,74,4,第一学期,85.0,81.1,78.3,86.0,82.6,需要加强课堂参与度。,良好,一般
808,74,5,第二学期,75.5,92.0,,67.0,81.9,学习态度认真，成绩稳步提升。,良好,优秀
809,74,6,第一学期,84.6,70.5,89.9,64.8,77.5,需要加强课堂参与度。,优秀,良好
810,74,7,第一学期,92.5,73.5,86.6,63.4,79.0,需要提高作业质量。,较差,一般
811,74,8,第一学期,78.4,38.4,58.9,66.6,60.6,课堂发言积极，思维活跃。,一般,一般
812,74,9,第二学期,86.1,81.5,68.2,83.5,79.8,作业完成认真，值得表扬。,良好,优秀
813,74,10,第二学期,87.1,,95.7,77.8,87.5,课堂纪律良好，表现稳定。,良好,一般
814,74,13,第二学期,97.2,88.0,85.0,67.9,84.5,课堂发言积极，思维活跃。,一般,优秀
815,75,1,第二学期,96.9,68.2,97.9,76.3,84.8,学习进步明显，继续努力。,较差,优秀
816,75,2,第二学期,82.4,87.6,67.8,93.0,82.7,,良好,优秀
817,75,3,第一学期,71.7,93.0,51.3,73.2,72.3,需要提高作业质量。,优秀,优秀
818,75,4,第一学期,72.7,89.2,55.5,71.5,72.2,需要提高作业质量。,良好,优秀
819,75,5,第二学期,92.6,58.5,53.7,60.3,66.3,需要加强课堂参与度。,优秀,优秀
820,75,6,第一学期,92.1,54.1,94.8,64.5,76.4,作业完成认真，值得表扬。,良好,优秀
821,75,7,第二学期,93.2,45.7,75.4,87.1,75.3,学习进步明显，继续努力。,较差,优秀
822,75,8,第一学期,80.7,48.2,68.6,86.5,71.0,,较差,一般
823,75,9,第二学期,77.1,48.4,98.0,77.9,75.3,课堂表现良好，积极参与讨论。,较差,一般
824,75,10,第二学期,71.4,96.2,56.8,93.3,79.4,需要提高作业质量。,良好,一般
825,75,13,第一学期,98.1,31.5,64.9,89.6,71.0,,优秀,优秀
826,76,1,第二学期,81.5,64.6,69.2,61.8,69.3,作业完成认真，值得表扬。,良好,优秀
827,76,2,第一学期,86.1,81.1,60.5,73.9,75.4,课堂纪律良好，表现稳定。,良好,优秀
828,76,3,第二学期,86.3,69.9,60.9,98.1,78.8,学习进步明显，继续努力。,优秀,良好
829,76,4,第一学期,98.4,37.7,75.6,67.1,69.7,课堂表现良好，积极参与讨论。,优秀,良好
830,76,5,第一学期,84.5,96.5,95.4,60.5,84.2,需要加强课堂参与度。,较差,优秀
831,76,6,第一学期,91.9,68.7,72.9,96.8,82.6,课堂发言积极，思维活跃。,较差,优秀
832,76,7,第一学期,89.7,89.7,94.5,63.4,84.3,作业完成认真，值得表扬。,优秀,良好
833,76,8,第二学期,85.9,55.8,98.6,81.9,80.5,需要加强课堂参与度。,一般,优秀
834,76,9,第一学期,77.4,58.7,,80.7,72.5,作业完成认真，值得表扬。,良好,优秀
835,76,10,第二学期,85.8,85.1,71.6,76.4,79.7,课堂纪律良好，表现稳定。,较差,优秀
836,76,13,第一学期,82.3,,96.3,82.3,89.2,作业完成认真，值得表扬。,优秀,良好
837,77,1,第二学期,89.0,72.6,63.6,71.9,74.3,学习进步明显，继续努力。,良好,一般
838,77,2,第一学期,90.3,,63.3,99.2,76.1,学习态度认真，成绩稳步提升。,一般,优秀
839,77,3,第一学期,93.4,51.1,59.6,63.4,66.9,学习态度认真，成绩稳步提升。,较差,优秀
840,77,4,第二学期,97.1,91.8,68.7,66.1,80.9,课堂发言积极，思维活跃。,较差,一般
841,77,5,第二学期,71.8,40.4,68.9,72.4,63.4,作业完成认真，值得表扬。,良好,良好
842,77,6,第一学期,74.2,44.9,90.2,83.4,73.2,需要加强课堂参与度。,良好,优秀
843,77,7,第二学期,70.1,,65.3,79.8,78.4,作业完成认真，值得表扬。,优秀,优秀
844,77,8,第一学期,96.7,,60.2,93.3,76.3,,良好,一般
845,77,9,第二学期,74.2,52.1,79.1,76.2,70.4,需要提高作业质量。,一般,优秀
846,77,10,第一学期,96.3,96.0,52.8,64.2,77.3,课堂发言积极，思维活跃。,优秀,良好
847,77,13,第一学期,77.5,96.5,51.7,78.2,76.0,课堂纪律良好，表现稳定。,优秀,良好
848,78,1,第一学期,92.8,35.5,67.9,84.5,70.2,,优秀,优秀
849,78,2,第一学期,74.4,93.9,68.0,94.4,82.7,学习进步明显，继续努力。,良好,优秀
850,78,3,第一学期,85.1,72.1,76.1,82.3,78.9,作业完成认真，值得表扬。,较差,优秀
851,78,4,第一学期,77.0,38.9,60.9,72.9,62.4,课堂发言积极，思维活跃。,良好,一般
852,78,5,第一学期,86.5,70.4,66.0,86.6,77.4,学习态度认真，成绩稳步提升。,良好,优秀
853,78,6,第一学期,82.4,36.6,59.6,99.3,69.5,学习态度认真，成绩稳步提升。,优秀,一般
854,78,7,第一学期,97.0,,82.2,83.1,86.6,需要加强课堂参与度。,一般,优秀
855,78,8,第一学期,80.0,71.1,82.5,62.2,74.0,需要加强课堂参与度。,良好,良好
856,78,9,第二学期,94.2,,82.7,86.4,87.1,需要提高作业质量。,良好,优秀
857,78,10,第一学期,73.4,60.2,97.7,86.0,79.3,课堂发言积极，思维活跃。,较差,良好
858,78,13,第二学期,89.0,62.4,57.5,94.2,75.8,,优秀,一般
859,79,1,第一学期,99.2,81.4,66.7,73.8,80.3,课堂发言积极，思维活跃。,良好,优秀
860,79,2,第一学期,75.4,82.4,69.5,82.5,77.5,学习进步明显，继续努力。,优秀,一般
861,79,3,第一学期,95.8,48.2,59.4,63.8,66.8,作业完成认真，值得表扬。,良好,优秀
862,79,4,第一学期,84.1,79.9,,97.2,87.0,学习态度认真，成绩稳步提升。,良好,优秀
863,79,5,第二学期,89.2,67.0,99.0,81.0,84.0,学习进步明显，继续努力。,较差,优秀
864,79,6,第二学期,99.2,33.3,54.5,80.5,66.9,课堂发言积极，思维活跃。,良好,优秀
865,79,7,第二学期,70.1,65.6,66.0,70.7,68.1,课堂表现良好，积极参与讨论。,较差,一般
866,79,8,第一学期,81.5,93.1,78.2,96.8,87.4,,较差,一般
867,79,9,第二学期,79.0,,53.5,80.7,67.5,需要提高作业质量。,较差,一般
868,79,10,第二学期,85.8,,63.9,81.4,69.7,学习进步明显，继续努力。,良好,良好
869,79,13,第一学期,76.2,63.3,94.6,68.2,75.6,需要加强课堂参与度。,良好,优秀
870,80,1,第二学期,94.1,95.3,52.1,94.3,83.9,课堂表现良好，积极参与讨论。,良好,一般
871,80,2,第二学期,75.6,71.1,79.1,92.8,79.6,课堂发言积极，思维活跃。,优秀,良好
872,80,3,第二学期,91.6,77.5,86.2,65.9,80.3,课堂表现良好，积极参与讨论。,良好,优秀
873,80,4,第一学期,96.5,75.3,87.1,86.3,86.3,学习进步明显，继续努力。,良好,优秀
874,80,5,第一学期,88.1,50.5,,71.0,71.1,课堂发言积极，思维活跃。,优秀,一般
875,80,6,第二学期,88.6,54.2,,67.1,68.4,课堂发言积极，思维活跃。,良好,良好
876,80,7,第二学期,83.2,97.6,57.6,77.9,79.1,课堂表现良好，积极参与讨论。,良好,优秀
877,80,8,第一学期,87.0,50.1,91.7,61.8,72.7,需要提高作业质量。,一般,优秀
878,80,9,第一学期,99.6,45.7,90.9,80.5,79.2,需要加强课堂参与度。,良好,优秀
879,80,10,第二学期,98.4,,56.8,90.6,79.1,学习态度认真，成绩稳步提升。,良好,良好
880,80,13,第一学期,73.9,49.3,91.7,81.6,74.1,课堂纪律良好，表现稳定。,一般,优秀
881,81,1,第一学期,70.6,43.2,69.3,82.8,66.5,需要提高作业质量。,较差,良好
882,81,2,第一学期,84.9,44.6,,71.3,70.8,需要加强课堂参与度。,一般,优秀
883,81,3,第一学期,100.0,96.7,63.2,62.5,80.6,学习态度认真，成绩稳步提升。,优秀,良好
884,81,4,第二学期,91.1,77.4,77.4,87.9,83.5,学习进步明显，继续努力。,较差,优秀
885,81,5,第二学期,98.9,81.3,85.8,76.1,85.5,课堂纪律良好，表现稳定。,良好,优秀
886,81,6,第二学期,89.4,66.7,51.7,98.8,76.7,学习态度认真，成绩稳步提升。,良好,优秀
887,81,7,第二学期,90.0,72.2,67.5,88.6,79.6,需要提高作业质量。,较差,优秀
888,81,8,第二学期,83.6,49.1,70.6,79.6,70.7,课堂发言积极，思维活跃。,较差,良好
889,81,9,第一学期,89.0,66.0,78.7,80.2,78.5,学习进步明显，继续努力。,优秀,一般
890,81,10,第一学期,96.7,82.5,68.9,77.5,81.4,课堂纪律良好，表现稳定。,一般,良好
891,81,13,第二学期,89.1,65.8,86.5,87.9,82.3,学习态度认真，成绩稳步提升。,一般,优秀
892,82,1,第一学期,70.7,33.0,97.8,65.3,66.7,需要加强课堂参与度。,良好,良好
893,82,2,第一学期,88.0,94.9,74.5,76.4,83.4,学习进步明显，继续努力。,较差,优秀
894,82,3,第二学期,87.7,,77.8,86.6,77.6,需要加强课堂参与度。,较差,优秀
895,82,4,第一学期,86.0,59.1,73.4,66.8,71.3,课堂表现良好，积极参与讨论。,优秀,优秀
896,82,5,第一学期,86.6,64.8,53.4,88.9,73.4,需要提高作业质量。,良好,一般
897,82,6,第一学期,72.4,75.8,84.6,92.4,81.3,需要加强课堂参与度。,良好,良好
898,82,7,第二学期,97.6,51.1,73.6,85.7,77.0,需要加强课堂参与度。,较差,一般
899,82,8,第二学期,76.1,67.6,89.4,69.6,75.7,学习态度认真，成绩稳步提升。,一般,良好
900,82,9,第一学期,97.1,56.3,72.1,95.9,80.3,课堂表现良好，积极参与讨论。,良好,一般
901,82,10,第二学期,78.6,65.7,81.6,83.9,77.5,作业完成认真，值得表扬。,较差,一般
902,82,13,第二学期,90.4,67.8,57.7,64.8,70.2,学习态度认真，成绩稳步提升。,较差,良好
903,83,1,第二学期,96.4,73.1,68.8,71.3,77.4,课堂发言积极，思维活跃。,优秀,一般
904,83,2,第一学期,71.3,52.8,66.6,75.6,66.6,学习进步明显，继续努力。,良好,优秀
905,83,3,第一学期,75.3,84.0,90.7,72.0,80.5,课堂表现良好，积极参与讨论。,良好,良好
906,83,4,第二学期,87.9,40.9,51.7,82.8,65.8,课堂发言积极，思维活跃。,良好,优秀
907,83,5,第一学期,99.1,99.5,65.6,79.0,85.8,,良好,优秀
908,83,6,第二学期,78.5,31.3,99.5,97.6,76.7,学习进步明显，继续努力。,一般,优秀
909,83,7,第二学期,84.0,40.1,69.8,86.5,70.1,作业完成认真，值得表扬。,较差,一般
910,83,8,第一学期,99.0,58.6,68.4,89.3,78.8,作业完成认真，值得表扬。,良好,良好
911,83,9,第一学期,97.5,76.7,95.9,73.9,86.0,学习态度认真，成绩稳步提升。,优秀,一般
912,83,10,第一学期,88.0,63.5,76.2,91.1,79.7,学习态度认真，成绩稳步提升。,较差,优秀
913,83,13,第一学期,81.5,87.4,98.9,87.6,88.8,学习态度认真，成绩稳步提升。,一般,优秀
914,84,1,第二学期,94.4,32.0,74.6,95.6,74.2,需要提高作业质量。,较差,优秀
915,84,2,第二学期,85.8,64.9,82.4,60.7,73.5,学习态度认真，成绩稳步提升。,良好,良好
916,84,3,第二学期,97.7,45.5,72.8,98.1,78.5,课堂发言积极，思维活跃。,较差,良好
917,84,4,第二学期,82.7,,54.5,96.8,78.5,学习态度认真，成绩稳步提升。,良好,良好
918,84,5,第一学期,83.7,78.0,69.6,67.8,74.8,课堂表现良好，积极参与讨论。,优秀,良好
919,84,6,第二学期,98.0,39.7,77.8,80.2,73.9,学习态度认真，成绩稳步提升。,良好,优秀
920,84,7,第一学期,91.3,38.3,,97.7,74.6,需要加强课堂参与度。,一般,优秀
921,84,8,第二学期,94.3,73.7,52.7,84.3,76.2,,优秀,优秀
922,84,9,第二学期,81.7,62.7,99.1,97.4,85.2,课堂纪律良好，表现稳定。,良好,优秀
923,84,10,第二学期,80.7,,55.6,70.2,75.8,课堂表现良好，积极参与讨论。,优秀,优秀
924,84,13,第一学期,78.1,61.7,92.9,79.3,78.0,课堂发言积极，思维活跃。,良好,优秀
925,85,1,第一学期,85.0,50.0,71.4,77.9,71.1,学习态度认真，成绩稳步提升。,良好,优秀
926,85,2,第二学期,95.8,63.5,82.8,84.2,81.6,课堂发言积极，思维活跃。,良好,优秀
927,85,3,第一学期,99.8,82.5,59.5,94.6,84.1,作业完成认真，值得表扬。,较差,一般
928,85,4,第一学期,74.8,43.8,68.1,93.6,70.1,需要提高作业质量。,良好,一般
929,85,5,第一学期,73.9,41.0,54.4,68.6,59.5,课堂发言积极，思维活跃。,较差,一般
930,85,6,第二学期,91.0,44.2,59.2,79.0,68.3,课堂表现良好，积极参与讨论。,良好,优秀
931,85,7,第二学期,95.4,54.4,84.4,81.3,78.9,课堂纪律良好，表现稳定。,优秀,一般
932,85,8,第二学期,83.0,44.4,67.9,69.0,66.1,课堂表现良好，积极参与讨论。,良好,优秀
933,85,9,第二学期,89.4,99.4,97.5,72.9,89.8,作业完成认真，值得表扬。,较差,良好
934,85,10,第二学期,92.0,53.0,64.9,69.2,69.8,需要加强课堂参与度。,一般,一般
935,85,13,第一学期,95.3,87.6,59.3,99.5,85.4,作业完成认真，值得表扬。,良好,优秀
936,86,1,第二学期,84.6,34.3,94.3,87.0,75.0,作业完成认真，值得表扬。,较差,优秀
937,86,2,第二学期,89.1,51.0,51.7,62.2,63.5,课堂表现良好，积极参与讨论。,较差,良好
938,86,3,第一学期,86.7,53.4,76.8,95.4,78.1,需要加强课堂参与度。,较差,良好
939,86,4,第一学期,87.9,68.0,,85.2,85.2,需要加强课堂参与度。,一般,一般
940,86,5,第二学期,96.1,67.4,68.7,88.4,80.2,需要加强课堂参与度。,良好,良好
